TIMEPOINT,FOLDER,FILENAME,VIAL,REP,POINT,TEMP,SYMBIONT_TREATMENT,AVERAGE_FvFm,PAR,F,FvFm,Fm',Fo,Y(ii),Y(NPQ),Y(NO),NPQ,qN,qP,qL,ETR,Abs,lnh
1,11.4.24,T2V19-24,19,3,3,31,,,0,0.1222,0.221159975,0.1569,0.1222,0.221,0,0.779,0,0,1,1,0,0,0.313
1,11.4.24,T2V19-24,20,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V19-24,21,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V19-24,22,1,1,31,,,0,0.1237,0.111988514,0.1393,0.1237,0.112,0,0.888,0,0,1,1,0,0,0.651
1,11.4.24,T2V19-24,23,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V19-24,24,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V25-30,25,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V25-30,26,1,1,31,,0.148680863,0,0.109,0.158301158,0.1295,0.109,0.158,0,0.842,0,0,1,1,0,0,0
1,11.4.24,T2V25-30,26,2,2,31,,,0,0.1393,0.139060569,0.1618,0.1393,0.139,0,0.861,0,0,1,1,0,0,0.123
1,11.4.24,T2V25-30,27,1,3,31,,0.291379362,0,0.0914,0.467365967,0.1716,0.0914,0.467,0,0.533,0,0,1,1,0,0,-1.948
1,11.4.24,T2V25-30,27,2,4,31,,,0,0.086,0.241622575,0.1134,0.086,0.241,0,0.759,0,0,1,1,0,0,-0.523
1,11.4.24,T2V25-30,27,3,5,31,,,0,0.1926,0.165149545,0.2307,0.1926,0.165,0,0.835,0,0,1,1,0,0,-0.043
1,11.4.24,T2V25-30,28,1,6,31,,0.222316216,0,0.1388,0.262486716,0.1882,0.1388,0.262,0,0.738,0,0,1,1,0,0,-0.655
1,11.4.24,T2V25-30,28,2,7,31,,,0,0.2043,0.182145717,0.2498,0.2043,0.182,0,0.818,0,0,1,1,0,0,-0.148
1,11.4.24,T2V25-30,29,1,8,31,,,0,0.1207,0.22578576,0.1559,0.1207,0.226,0,0.774,0,0,1,1,0,0,-0.424
1,11.4.24,T2V25-30,30,1,9,31,,,0,0.0963,0,0,0.0963,0.457,0,0.543,0,0,1,1,0,0,-1.885
1,11.4.24,T2V31-36,31,1,1,31,,,0,0.1906,0.299779574,0.2722,0.1906,0.3,0,0.7,0,0,1,1,0,0,0
1,11.4.24,T2V31-36,32,1,2,31,,,0,0.2199,0.146350932,0.2576,0.2199,0.146,0,0.854,0,0,1,1,0,0,0.513
1,11.4.24,T2V31-36,33,1,3,31,,0.430781844,0,0.1281,0.430160142,0.2248,0.1281,0.43,0,0.57,0,0,1,1,0,0,-0.436
1,11.4.24,T2V31-36,33,2,4,31,,,0,0.2121,0.379098361,0.3416,0.2121,0.379,0,0.621,0,0,1,1,0,0,-0.264
1,11.4.24,T2V31-36,33,3,5,31,,,0,0.1574,0.483087028,0.3045,0.1574,0.483,0,0.517,0,0,1,1,0,0,-0.611
1,11.4.24,T2V31-36,34,1,6,31,,,0,0.1828,0.294208494,0.259,0.1828,0.294,0,0.706,0,0,1,1,0,0,0.018
1,11.4.24,T2V31-36,35,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V31-36,36,1,7,31,,,0,0.1447,0.296890185,0.2058,0.1447,0.297,0,0.703,0,0,1,1,0,0,0.01
1,11.4.24,T2V37-42,37,1,1,31,,0.188910326,0,0.1085,0.297279793,0.1544,0.1085,0.297,0,0.703,0,0,1,1,0,0,0
1,11.4.24,T2V37-42,37,2,2,31,,,0,0.1564,0.080540858,0.1701,0.1564,0.08,0,0.92,0,0,1,1,0,0,0.73
1,11.4.24,T2V37-42,38,1,3,31,,0.295798917,0,0.1833,0.324364173,0.2713,0.1833,0.324,0,0.676,0,0,1,1,0,0,-0.09
1,11.4.24,T2V37-42,38,2,4,31,,,0,0.1637,0.267233662,0.2234,0.1637,0.267,0,0.733,0,0,1,1,0,0,0.103
1,11.4.24,T2V37-42,39,1,5,31,,0.357108529,0,0.1105,0.375353307,0.1769,0.1105,0.376,0,0.624,0,0,1,1,0,0,-0.263
1,11.4.24,T2V37-42,39,2,6,31,,,0,0.1315,0.338863751,0.1989,0.1315,0.339,0,0.661,0,0,1,1,0,0,-0.14
1,11.4.24,T2V37-42,40,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V37-42,41,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V37-42,42,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,3,1,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3,2,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V3,3,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V4,4,1,1,35.5,,0.071893224,0,0.1999,0.051257712,0.2107,0.1999,0.051,0,0.949,0,0,1,1,0,0,0
1,11.4.24,T3V4,4,2,2,35.5,,,0,0.1579,0.092528736,0.174,0.1579,0.093,0,0.907,0,0,1,1,0,0,-0.816
1,11.4.24,T3V5V6,5,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V5V6,6,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V7-12,7,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V7-12,8,1,1,35.5,,,0,0.1613,0.133727175,0.1862,0.1613,0.134,0,0.866,0,0,1,1,0,0,0
1,11.4.24,T3V7-12,9,1,2,35.5,,0.240966358,0,0.3382,0.187800192,0.4164,0.3382,0.188,0,0.812,0,0,1,1,0,0,-0.403
1,11.4.24,T3V7-12,9,2,3,35.5,,,0,0.5582,0.294132524,0.7908,0.5582,0.294,0,0.706,0,0,1,1,0,0,-1.198
1,11.4.24,T3V7-12,10,1,4,35.5,,0.162755122,0,0.1588,0.121681416,0.1808,0.1588,0.122,0,0.878,0,0,1,1,0,0,0.091
1,11.4.24,T3V7-12,10,2,5,35.5,,,0,0.2121,0.203828829,0.2664,0.2121,0.204,0,0.796,0,0,1,1,0,0,-0.522
1,11.4.24,T3V7-12,11,1,6,35.5,,,0,0.588,0.293948127,0.8328,0.588,0.294,0,0.706,0,0,1,1,0,0,-1.196
1,11.4.24,T3V7-12,12,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T3V13-18,13,1,1,35.5,,0.19731277,0,0.238,0.215815486,0.3035,0.238,0.216,0,0.784,0,0,1,1,0,0,0
1,11.4.24,T3V13-18,13,2,2,35.5,,,0,0.2581,0.178810054,0.3143,0.2581,0.179,0,0.821,0,0,1,1,0,0,0.171
1,11.4.24,T3V13-18,14,1,3,35.5,,,0,0.1789,0.348744084,0.2747,0.1789,0.349,0,0.651,0,0,1,1,0,0,-0.616
1,11.4.24,T3V13-18,15,1,NA,35.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
